Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Components,Chrome 67.0.3396.99,,2018-07-25 17:10:59,2018-07-25 17:11:17,18.193s,FAILED
,,,,,,
Test Cases/Day 2/Test 6,Chrome 67.0.3396.99,,2018-07-25 17:10:59,2018-07-25 17:11:10,10.538s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:11:00,2018-07-25 17:11:03,2.821s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:11:03,2018-07-25 17:11:09,6.755s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:11:09,2018-07-25 17:11:09,0.162s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:11:09,2018-07-25 17:11:10,0.506s,FAILED
,,,,,,
Test Cases/Day 2/Test 7,Chrome 67.0.3396.99,,2018-07-25 17:11:10,2018-07-25 17:11:17,6.724s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 17:11:10,2018-07-25 17:11:13,2.582s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 17:11:13,2018-07-25 17:11:16,3.321s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:11:16,2018-07-25 17:11:16,0.112s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 17:11:16,2018-07-25 17:11:17,0.586s,FAILED
