Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 16:35:30,2018-07-24 16:36:21,51.436s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 16:35:30,2018-07-24 16:35:41,11.395s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:35:30,2018-07-24 16:35:33,2.832s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:35:33,2018-07-24 16:35:39,5.576s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:35:39,2018-07-24 16:35:39,0.141s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 16:35:39,2018-07-24 16:35:39,0.288s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:39,2018-07-24 16:35:41,2.253s,PASSED
,,,,,,
Test Cases/ValidateLinks/EditValues,Chrome 67.0.3396.99,,2018-07-24 16:35:41,2018-07-24 16:36:20,39.127s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:42,2018-07-24 16:35:43,1.520s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:43,2018-07-24 16:35:44,0.561s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:44,2018-07-24 16:35:45,1.398s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:45,2018-07-24 16:35:45,0.094s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:45,2018-07-24 16:35:45,0.105s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:45,2018-07-24 16:35:45,0.080s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 16:35:45,2018-07-24 16:35:47,1.266s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:47,2018-07-24 16:35:48,1.345s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:48,2018-07-24 16:35:48,0.542s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:48,2018-07-24 16:35:49,0.882s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:35:49,2018-07-24 16:36:20,31.143s,FAILED
