Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 51.0,,2018-07-24 15:04:36,2018-07-24 15:05:03,27.002s,PASSED
,,,,,,
Test Cases/Login/Test 1,Firefox 51.0,abcd,2018-07-24 15:04:37,2018-07-24 15:04:52,15.348s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 15:04:37,2018-07-24 15:04:48,10.745s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 15:04:48,2018-07-24 15:04:49,1.245s,PASSED
click,Firefox 51.0,,2018-07-24 15:04:49,2018-07-24 15:04:50,0.810s,PASSED
setText,Firefox 51.0,,2018-07-24 15:04:50,2018-07-24 15:04:50,0.140s,PASSED
setEncryptedText,Firefox 51.0,,2018-07-24 15:04:50,2018-07-24 15:04:51,0.325s,PASSED
click,Firefox 51.0,,2018-07-24 15:04:51,2018-07-24 15:04:52,1.310s,PASSED
closeBrowser,Firefox 51.0,,2018-07-24 15:04:52,2018-07-24 15:04:52,0.255s,PASSED
,,,,,,
Test Cases/Login/Test 2,Firefox 51.0,,2018-07-24 15:04:52,2018-07-24 15:05:03,11.233s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 15:04:52,2018-07-24 15:05:00,7.637s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 15:05:00,2018-07-24 15:05:01,1.057s,PASSED
click,Firefox 51.0,,2018-07-24 15:05:01,2018-07-24 15:05:02,0.780s,PASSED
setText,Firefox 51.0,,2018-07-24 15:05:02,2018-07-24 15:05:02,0.138s,PASSED
setText,Firefox 51.0,,2018-07-24 15:05:02,2018-07-24 15:05:02,0.159s,PASSED
click,Firefox 51.0,,2018-07-24 15:05:02,2018-07-24 15:05:03,1.066s,PASSED
closeBrowser,Firefox 51.0,,2018-07-24 15:05:03,2018-07-24 15:05:03,0.238s,PASSED
